aluguel,zona,area,quarto
3736.0,sul,52.0,2.0
2800.0,sul,70.0,3.0
1571.0,sul,58.0,2.0
3450.0,sul,58.0,1.0
3100.0,sul,33.0,1.0
2434.0,sul,50.0,1.0
3150.0,sul,128.0,3.0
3350.0,sul,42.0,1.0
6000.0,sul,76.0,2.0
2950.0,sul,140.0,3.0
3000.0,sul,30.0,1.0
3300.0,sul,121.0,4.0
3834.0,sul,98.0,3.0
4128.0,sul,142.0,3.0
3078.0,sul,70.0,2.0
1800.0,sul,58.0,2.0
1694.0,sul,44.0,2.0
4054.0,sul,260.0,4.0
2500.0,sul,60.0,1.0
3000.0,sul,115.0,3.0
2182.0,sul,57.0,2.0
2450.0,sul,41.0,1.0
3127.0,sul,140.0,3.0
6286.0,sul,104.0,3.0
3806.0,sul,89.0,3.0
3870.0,sul,75.0,3.0
3300.0,sul,100.0,2.0
3116.0,sul,120.0,2.0
1500.0,sul,60.0,2.0
6000.0,sul,250.0,4.0
9000.0,sul,229.0,3.0
2138.0,sul,90.0,3.0
2500.0,sul,40.0,1.0
4360.0,sul,66.0,3.0
2500.0,sul,50.0,1.0
3300.0,sul,72.0,2.0
6500.0,sul,300.0,3.0
9000.0,sul,326.0,4.0
8700.0,sul,120.0,2.0
14000.0,sul,171.0,4.0
1800.0,sul,55.0,2.0
4800.0,sul,156.0,3.0
3000.0,sul,176.0,2.0
3400.0,sul,28.0,1.0
4300.0,sul,85.0,3.0
8500.0,sul,162.0,3.0
2300.0,sul,38.0,1.0
2900.0,sul,78.0,2.0
2400.0,sul,50.0,2.0
5000.0,sul,106.0,2.0
8000.0,sul,90.0,3.0
3500.0,sul,50.0,1.0
3300.0,sul,59.0,1.0
2700.0,sul,40.0,1.0
2200.0,sul,30.0,1.0
2800.0,sul,29.0,1.0
7250.0,sul,53.0,1.0
3600.0,sul,133.0,3.0
1450.0,sul,40.0,1.0
1450.0,sul,40.0,1.0
2300.0,sul,59.0,2.0
1800.0,sul,69.0,2.0
3500.0,sul,44.0,1.0
1450.0,sul,40.0,1.0
3300.0,sul,70.0,1.0
3800.0,sul,50.0,2.0
2150.0,sul,50.0,1.0
2266.0,sul,47.0,2.0
1800.0,sul,56.0,2.0
14000.0,sul,210.0,4.0
2200.0,sul,72.0,3.0
1700.0,sul,38.0,1.0
2200.0,sul,40.0,1.0
1800.0,sul,28.0,1.0
4000.0,sul,150.0,3.0
3800.0,sul,68.0,2.0
2500.0,sul,170.0,3.0
2550.0,sul,30.0,1.0
3374.0,sul,93.0,2.0
3000.0,sul,45.0,1.0
2500.0,sul,45.0,2.0
3000.0,sul,32.0,1.0
2000.0,sul,45.0,1.0
2949.0,sul,77.0,2.0
4400.0,sul,220.0,3.0
3815.0,sul,35.0,1.0
2900.0,sul,45.0,1.0
3470.0,sul,80.0,3.0
7500.0,sul,200.0,4.0
7000.0,sul,95.0,3.0
3300.0,sul,45.0,1.0
2500.0,sul,37.0,2.0
2400.0,sul,90.0,3.0
2350.0,sul,40.0,1.0
3100.0,sul,64.0,2.0
4600.0,sul,300.0,3.0
2700.0,sul,72.0,3.0
3000.0,sul,110.0,3.0
11200.0,sul,110.0,3.0
2500.0,sul,75.0,3.0
2900.0,sul,78.0,2.0
4500.0,sul,95.0,3.0
2800.0,sul,65.0,2.0
2647.0,sul,45.0,1.0
15000.0,sul,650.0,3.0
2900.0,sul,40.0,1.0
3500.0,sul,42.0,1.0
2600.0,sul,88.0,2.0
4500.0,sul,80.0,1.0
10900.0,sul,300.0,4.0
2600.0,sul,90.0,2.0
2800.0,sul,87.0,3.0
4820.0,sul,70.0,2.0
4300.0,sul,65.0,1.0
1100.0,norte,52.0,2.0
1200.0,norte,51.0,2.0
600.0,norte,12.0,1.0
750.0,norte,35.0,1.0
1250.0,norte,50.0,2.0
1500.0,norte,52.0,2.0
1000.0,norte,45.0,1.0
1800.0,norte,45.0,2.0
1350.0,norte,68.0,2.0
1400.0,norte,65.0,2.0
1600.0,norte,67.0,2.0
820.0,norte,40.0,1.0
1300.0,norte,70.0,2.0
1400.0,norte,50.0,2.0
1255.0,norte,42.0,1.0
1069.0,norte,27.0,1.0
1400.0,norte,42.0,2.0
1579.0,norte,60.0,2.0
2500.0,norte,80.0,3.0
900.0,norte,33.0,1.0
5250.0,norte,124.0,3.0
960.0,norte,20.0,1.0
790.0,norte,45.0,2.0
1500.0,norte,60.0,2.0
3700.0,norte,210.0,4.0
4400.0,norte,198.0,3.0
1400.0,norte,50.0,2.0
3000.0,norte,215.0,4.0
1700.0,norte,80.0,3.0
2000.0,norte,50.0,2.0
1500.0,norte,46.0,2.0
550.0,norte,36.0,1.0
1200.0,norte,60.0,2.0
1700.0,norte,74.0,2.0
1800.0,norte,80.0,3.0
2700.0,norte,64.0,2.0
1543.0,norte,80.0,2.0
1700.0,norte,48.0,2.0
1750.0,norte,75.0,3.0
2000.0,norte,60.0,2.0
2700.0,norte,138.0,3.0
2000.0,norte,60.0,2.0
1095.0,norte,53.0,2.0
6000.0,norte,221.0,4.0
2575.0,norte,82.0,3.0
1200.0,norte,42.0,1.0
1550.0,norte,56.0,2.0
1663.0,norte,110.0,2.0
1500.0,norte,46.0,2.0
2320.0,norte,92.0,3.0
1500.0,norte,35.0,1.0
1650.0,norte,64.0,2.0
1549.0,norte,37.0,1.0
1662.0,norte,50.0,2.0
2400.0,norte,60.0,2.0
1300.0,norte,100.0,2.0
1702.0,norte,110.0,3.0
1957.0,norte,69.0,3.0
1608.0,norte,100.0,3.0
2700.0,norte,105.0,3.0
2005.0,norte,55.0,2.0
1358.0,norte,90.0,2.0
1850.0,norte,20.0,1.0
5200.0,norte,253.0,2.0
1500.0,norte,54.0,2.0
2400.0,norte,89.0,3.0
1700.0,norte,30.0,1.0
1900.0,norte,46.0,1.0
9900.0,norte,248.0,3.0
1700.0,norte,70.0,3.0
1400.0,norte,44.0,2.0
3000.0,norte,63.0,2.0
1800.0,norte,60.0,2.0
1350.0,norte,74.0,2.0
1977.0,norte,84.0,3.0
2750.0,norte,93.0,2.0
2900.0,norte,70.0,3.0
1600.0,norte,50.0,2.0
1650.0,norte,51.0,2.0
1650.0,norte,47.0,2.0
1754.0,norte,85.0,2.0
1600.0,norte,100.0,2.0
2200.0,norte,56.0,2.0
2000.0,norte,60.0,2.0
1630.0,norte,54.0,2.0
1500.0,norte,46.0,2.0
3390.0,norte,50.0,2.0
1450.0,norte,40.0,1.0
1500.0,norte,46.0,2.0
7230.0,norte,500.0,4.0
2715.0,norte,123.0,3.0
1500.0,norte,46.0,2.0
1500.0,norte,46.0,2.0
1500.0,norte,46.0,2.0
2900.0,norte,190.0,3.0
1500.0,norte,46.0,2.0
2000.0,norte,69.0,2.0
2147.0,norte,52.0,2.0
3400.0,norte,50.0,2.0
1350.0,norte,70.0,1.0
1250.0,norte,63.0,2.0
1500.0,norte,46.0,2.0
1500.0,norte,46.0,2.0
2600.0,norte,68.0,3.0
1600.0,norte,50.0,1.0
3460.0,norte,43.0,2.0
1450.0,norte,40.0,1.0
1600.0,norte,50.0,1.0
1990.0,norte,65.0,2.0
1500.0,norte,46.0,2.0
1500.0,norte,46.0,2.0
1500.0,norte,46.0,2.0
2500.0,norte,62.0,2.0
3500.0,norte,160.0,3.0
1364.0,norte,64.0,2.0
970.0,norte,50.0,1.0
1249.0,norte,52.0,2.0
2440.0,norte,60.0,2.0
1100.0,norte,49.0,2.0
1400.0,norte,42.0,1.0
830.0,norte,40.0,1.0
1664.0,norte,68.0,2.0
1090.0,norte,35.0,1.0
1108.0,norte,60.0,1.0
1090.0,norte,50.0,1.0
950.0,norte,50.0,1.0
1700.0,norte,50.0,2.0
1100.0,norte,40.0,1.0
2300.0,norte,65.0,2.0
1500.0,norte,40.0,2.0
1500.0,norte,116.0,3.0
1030.0,norte,86.0,2.0
2720.0,norte,215.0,3.0
1350.0,norte,70.0,2.0
2200.0,norte,118.0,3.0
2000.0,norte,88.0,3.0
1372.0,norte,57.0,2.0
2700.0,norte,46.0,1.0
1900.0,norte,90.0,2.0
1500.0,norte,46.0,2.0
2500.0,norte,119.0,3.0
2900.0,norte,94.0,2.0
4500.0,norte,160.0,3.0
1574.0,norte,50.0,2.0
1950.0,norte,56.0,2.0
1100.0,norte,60.0,2.0
1490.0,norte,60.0,2.0
968.0,norte,36.0,1.0
1400.0,norte,52.0,2.0
4800.0,norte,55.0,1.0
1500.0,norte,70.0,2.0
1400.0,norte,50.0,2.0
900.0,norte,38.0,1.0
1500.0,norte,67.0,2.0
1443.0,norte,60.0,3.0
1291.0,norte,48.0,2.0
1100.0,norte,106.0,2.0
600.0,norte,16.0,1.0
1421.0,norte,35.0,1.0
1350.0,norte,55.0,1.0
1700.0,norte,73.0,3.0
1850.0,norte,58.0,2.0
3200.0,norte,80.0,3.0
920.0,norte,40.0,1.0
1350.0,norte,50.0,1.0
1500.0,norte,80.0,2.0
1550.0,norte,60.0,2.0
1210.0,norte,42.0,1.0
2300.0,norte,33.0,1.0
1200.0,norte,50.0,2.0
1500.0,norte,60.0,2.0
1600.0,norte,49.0,2.0
1250.0,norte,44.0,1.0
2750.0,norte,62.0,2.0
1800.0,norte,31.0,1.0
2500.0,norte,90.0,2.0
2650.0,norte,200.0,4.0
1300.0,norte,54.0,2.0
1400.0,norte,90.0,3.0
1900.0,norte,60.0,2.0
3000.0,norte,110.0,2.0
2450.0,norte,74.0,3.0
1600.0,norte,67.0,2.0
1650.0,norte,55.0,2.0
2200.0,norte,52.0,2.0
1530.0,norte,70.0,2.0
2151.0,norte,137.0,4.0
1550.0,norte,41.0,2.0
1950.0,norte,40.0,1.0
2500.0,norte,130.0,3.0
2400.0,norte,261.0,3.0
2200.0,norte,130.0,2.0
1500.0,norte,57.0,3.0
1900.0,norte,120.0,2.0
950.0,norte,42.0,1.0
2500.0,norte,100.0,2.0
2000.0,norte,63.0,3.0
700.0,norte,40.0,1.0
990.0,norte,38.0,1.0
2600.0,norte,42.0,1.0
1490.0,norte,55.0,2.0
3800.0,norte,110.0,3.0
2000.0,norte,55.0,2.0
1790.0,norte,55.0,2.0
1850.0,norte,55.0,2.0
1300.0,norte,52.0,2.0
1882.0,norte,60.0,2.0
3700.0,norte,208.0,3.0
2000.0,norte,126.0,3.0
3600.0,norte,98.0,3.0
2400.0,norte,180.0,3.0
4000.0,norte,83.0,2.0
1600.0,norte,72.0,2.0
1650.0,norte,35.0,1.0
1750.0,norte,55.0,2.0
2650.0,norte,55.0,2.0
2650.0,norte,50.0,1.0
2800.0,norte,70.0,2.0
1700.0,norte,45.0,1.0
2650.0,norte,98.0,2.0
2500.0,norte,45.0,1.0
2650.0,norte,96.0,2.0
1800.0,norte,89.0,3.0
2200.0,norte,46.0,1.0
1700.0,norte,65.0,2.0
3500.0,norte,150.0,3.0
2300.0,norte,74.0,3.0
1700.0,norte,65.0,2.0
1200.0,norte,53.0,2.0
2400.0,norte,120.0,2.0
1950.0,norte,47.0,2.0
3500.0,norte,180.0,2.0
2050.0,norte,57.0,2.0
1700.0,norte,68.0,2.0
1170.0,norte,40.0,1.0
1740.0,norte,53.0,2.0
1236.0,norte,50.0,2.0
1350.0,norte,40.0,1.0
4200.0,norte,29.0,1.0
2300.0,norte,200.0,4.0
2000.0,norte,45.0,1.0
1900.0,norte,44.0,1.0
1347.0,norte,39.0,2.0
2428.0,norte,55.0,2.0
2250.0,norte,152.0,2.0
3000.0,norte,57.0,2.0
2000.0,norte,70.0,2.0
2400.0,norte,140.0,2.0
1800.0,norte,52.0,2.0
1800.0,norte,52.0,2.0
5000.0,norte,200.0,3.0
2600.0,norte,86.0,3.0
1400.0,norte,53.0,3.0
1648.0,norte,54.0,2.0
2300.0,norte,70.0,3.0
2000.0,norte,58.0,3.0
1360.0,norte,44.0,2.0
2320.0,norte,59.0,2.0
3200.0,norte,150.0,1.0
1700.0,norte,65.0,2.0
1500.0,norte,52.0,2.0
1655.0,norte,53.0,2.0
2500.0,norte,68.0,2.0
1700.0,norte,90.0,2.0
2306.0,norte,56.0,2.0
1900.0,norte,44.0,1.0
2147.0,norte,110.0,3.0
2000.0,norte,100.0,2.0
1809.0,norte,50.0,2.0
1900.0,norte,46.0,1.0
2100.0,norte,50.0,1.0
2700.0,norte,126.0,2.0
2200.0,norte,53.0,2.0
1478.0,norte,55.0,2.0
2300.0,norte,200.0,3.0
2500.0,norte,100.0,1.0
4500.0,norte,170.0,3.0
1802.0,norte,98.0,2.0
3400.0,norte,157.0,3.0
1250.0,norte,30.0,1.0
2100.0,norte,170.0,3.0
2500.0,norte,90.0,2.0
3900.0,norte,181.0,3.0
1600.0,norte,33.0,1.0
1800.0,norte,52.0,2.0
1800.0,norte,52.0,2.0
1800.0,norte,52.0,2.0
1800.0,norte,52.0,2.0
770.0,leste,53.0,2.0
550.0,leste,35.0,1.0
800.0,leste,70.0,2.0
800.0,leste,58.0,2.0
1200.0,leste,50.0,2.0
950.0,leste,30.0,1.0
1000.0,leste,48.0,2.0
980.0,leste,45.0,2.0
800.0,leste,43.0,2.0
2200.0,leste,70.0,3.0
950.0,leste,49.0,2.0
1350.0,leste,95.0,2.0
2500.0,leste,80.0,3.0
990.0,leste,16.0,1.0
1300.0,leste,49.0,2.0
1400.0,leste,100.0,3.0
1300.0,leste,39.0,1.0
812.0,leste,60.0,1.0
1400.0,leste,60.0,2.0
1100.0,leste,47.0,2.0
650.0,leste,50.0,1.0
1200.0,leste,50.0,1.0
2900.0,leste,67.0,3.0
1700.0,leste,52.0,2.0
1350.0,leste,60.0,1.0
1400.0,leste,70.0,2.0
2100.0,leste,56.0,2.0
800.0,leste,40.0,1.0
1100.0,leste,60.0,2.0
950.0,leste,56.0,2.0
5500.0,leste,128.0,3.0
1530.0,leste,27.0,1.0
1250.0,leste,76.0,2.0
1990.0,leste,60.0,2.0
1741.0,leste,62.0,2.0
2200.0,leste,103.0,2.0
2500.0,leste,75.0,3.0
800.0,leste,24.0,1.0
1040.0,leste,100.0,1.0
1600.0,leste,41.0,1.0
1500.0,leste,54.0,2.0
747.0,leste,50.0,1.0
1200.0,leste,43.0,2.0
1100.0,leste,42.0,2.0
700.0,leste,35.0,1.0
1800.0,leste,90.0,2.0
1900.0,leste,40.0,1.0
1592.0,leste,64.0,2.0
900.0,leste,46.0,1.0
2500.0,leste,125.0,2.0
2000.0,leste,84.0,2.0
1300.0,leste,54.0,2.0
3700.0,leste,190.0,3.0
890.0,leste,55.0,1.0
1000.0,leste,52.0,2.0
3500.0,leste,150.0,3.0
1323.0,leste,46.0,2.0
4100.0,leste,160.0,4.0
1650.0,leste,57.0,2.0
1100.0,leste,55.0,2.0
1700.0,leste,50.0,2.0
2200.0,leste,78.0,2.0
1600.0,leste,75.0,2.0
1100.0,leste,45.0,2.0
1200.0,leste,37.0,2.0
2400.0,leste,53.0,2.0
800.0,leste,45.0,1.0
1800.0,leste,60.0,2.0
1700.0,leste,64.0,2.0
1500.0,leste,100.0,2.0
3500.0,leste,110.0,3.0
1300.0,leste,80.0,2.0
1100.0,leste,60.0,2.0
1300.0,leste,90.0,2.0
1340.0,leste,60.0,2.0
1121.0,leste,80.0,1.0
2100.0,leste,90.0,2.0
1650.0,leste,74.0,3.0
1500.0,leste,28.0,1.0
1650.0,leste,46.0,1.0
2740.0,leste,190.0,3.0
2800.0,leste,79.0,3.0
1800.0,leste,52.0,2.0
3100.0,leste,72.0,3.0
1700.0,leste,44.0,2.0
1700.0,leste,48.0,2.0
1500.0,leste,60.0,2.0
4000.0,leste,200.0,3.0
1300.0,leste,41.0,2.0
2495.0,leste,80.0,4.0
2500.0,leste,80.0,1.0
2700.0,leste,150.0,3.0
2600.0,leste,52.0,2.0
2500.0,leste,100.0,2.0
1400.0,leste,80.0,1.0
1400.0,leste,58.0,2.0
3800.0,leste,400.0,2.0
1800.0,leste,112.0,3.0
2000.0,leste,74.0,2.0
900.0,leste,37.0,1.0
1550.0,leste,32.0,1.0
1800.0,leste,50.0,2.0
4000.0,leste,130.0,2.0
2600.0,leste,150.0,4.0
950.0,leste,30.0,1.0
1122.0,leste,53.0,2.0
7000.0,leste,157.0,3.0
1100.0,leste,47.0,2.0
1404.0,leste,50.0,1.0
1450.0,leste,39.0,2.0
2600.0,leste,95.0,3.0
1285.0,leste,80.0,2.0
1000.0,leste,50.0,2.0
2990.0,leste,85.0,3.0
1990.0,leste,46.0,2.0
4590.0,leste,82.0,2.0
1750.0,leste,50.0,2.0
1700.0,leste,70.0,2.0
1500.0,leste,68.0,2.0
1560.0,leste,50.0,2.0
2077.0,leste,54.0,2.0
1179.0,leste,90.0,2.0
1650.0,leste,28.0,1.0
1672.0,leste,32.0,1.0
2200.0,leste,40.0,1.0
1400.0,leste,47.0,2.0
1500.0,leste,40.0,1.0
2500.0,leste,59.0,2.0
7000.0,leste,132.0,3.0
2100.0,leste,64.0,2.0
1450.0,leste,37.0,1.0
1275.0,leste,57.0,2.0
3000.0,leste,180.0,2.0
2700.0,leste,58.0,2.0
1400.0,leste,40.0,2.0
1500.0,leste,125.0,2.0
750.0,leste,40.0,1.0
1646.0,leste,21.0,1.0
1600.0,leste,120.0,3.0
1500.0,leste,47.0,2.0
1800.0,leste,85.0,3.0
2750.0,leste,70.0,3.0
2100.0,leste,80.0,2.0
1900.0,leste,42.0,1.0
950.0,leste,45.0,1.0
1400.0,leste,53.0,2.0
1800.0,leste,140.0,4.0
1200.0,leste,48.0,2.0
1800.0,leste,42.0,2.0
1900.0,leste,80.0,3.0
2200.0,leste,150.0,4.0
1853.0,leste,63.0,2.0
1500.0,leste,61.0,2.0
3500.0,leste,250.0,3.0
2300.0,leste,78.0,2.0
1439.0,leste,56.0,2.0
2000.0,leste,66.0,2.0
950.0,leste,30.0,1.0
1963.0,leste,66.0,2.0
2500.0,leste,75.0,2.0
2800.0,leste,135.0,3.0
1100.0,leste,60.0,2.0
1200.0,leste,60.0,2.0
1300.0,leste,60.0,2.0
1150.0,leste,60.0,1.0
1285.0,leste,55.0,2.0
700.0,leste,40.0,1.0
1800.0,leste,45.0,2.0
2700.0,leste,40.0,1.0
1150.0,leste,60.0,1.0
2414.0,leste,70.0,2.0
1500.0,leste,95.0,2.0
1650.0,leste,54.0,1.0
1165.0,leste,70.0,1.0
1100.0,leste,25.0,1.0
1098.0,leste,90.0,2.0
1200.0,leste,50.0,1.0
900.0,leste,47.0,2.0
1600.0,leste,70.0,2.0
1390.0,leste,53.0,2.0
1500.0,leste,45.0,1.0
950.0,leste,90.0,1.0
1722.0,leste,90.0,3.0
1285.0,leste,54.0,2.0
643.0,leste,50.0,1.0
980.0,leste,36.0,1.0
2013.0,leste,64.0,3.0
600.0,leste,35.0,1.0
750.0,leste,45.0,1.0
700.0,leste,38.0,1.0
1400.0,leste,48.0,2.0
650.0,leste,24.0,1.0
4300.0,leste,51.0,1.0
1889.0,leste,49.0,2.0
2100.0,leste,70.0,2.0
1750.0,leste,76.0,3.0
1300.0,leste,37.0,1.0
1800.0,leste,56.0,2.0
1840.0,leste,30.0,1.0
888.0,leste,42.0,2.0
800.0,leste,38.0,1.0
1200.0,leste,49.0,2.0
1100.0,leste,58.0,2.0
900.0,leste,56.0,2.0
1100.0,leste,55.0,3.0
1100.0,leste,50.0,2.0
1600.0,leste,63.0,2.0
1208.0,leste,32.0,1.0
1100.0,leste,57.0,2.0
1600.0,leste,50.0,2.0
2700.0,leste,60.0,2.0
1800.0,leste,76.0,3.0
1050.0,leste,33.0,1.0
1139.0,leste,54.0,2.0
2600.0,leste,71.0,2.0
1500.0,leste,45.0,2.0
2200.0,leste,39.0,1.0
3700.0,leste,121.0,3.0
3400.0,leste,141.0,4.0
2500.0,leste,49.0,2.0
4000.0,leste,92.0,3.0
3500.0,leste,190.0,3.0
2500.0,leste,64.0,2.0
1200.0,leste,40.0,1.0
2900.0,leste,77.0,3.0
2200.0,leste,45.0,1.0
2000.0,leste,45.0,1.0
1900.0,leste,100.0,2.0
4000.0,leste,92.0,3.0
1200.0,leste,40.0,1.0
1250.0,leste,28.0,1.0
1200.0,leste,38.0,2.0
2200.0,leste,86.0,3.0
1275.0,leste,50.0,2.0
2500.0,leste,63.0,3.0
1150.0,leste,56.0,1.0
535.0,leste,30.0,1.0
1200.0,leste,50.0,2.0
1000.0,leste,52.0,1.0
1800.0,leste,52.0,2.0
1183.0,leste,52.0,2.0
2200.0,leste,65.0,3.0
4000.0,leste,315.0,4.0
1584.0,leste,73.0,2.0
800.0,leste,40.0,1.0
1300.0,leste,39.0,1.0
1930.0,leste,100.0,2.0
1600.0,leste,69.0,3.0
2200.0,leste,92.0,3.0
1000.0,leste,41.0,2.0
1500.0,leste,60.0,1.0
1000.0,leste,62.0,2.0
859.0,leste,38.0,1.0
950.0,leste,40.0,1.0
2217.0,leste,53.0,2.0
2100.0,leste,81.0,3.0
1636.0,leste,61.0,2.0
1275.0,leste,37.0,1.0
2200.0,leste,50.0,2.0
1784.0,leste,38.0,1.0
1200.0,leste,70.0,2.0
1750.0,leste,29.0,1.0
1100.0,leste,30.0,1.0
1100.0,leste,43.0,2.0
1800.0,leste,26.0,1.0
942.0,leste,38.0,1.0
1540.0,leste,16.0,1.0
750.0,leste,45.0,1.0
1000.0,leste,65.0,1.0
2300.0,leste,115.0,3.0
1300.0,leste,38.0,2.0
1600.0,leste,55.0,2.0
1250.0,leste,43.0,2.0
5500.0,leste,196.0,3.0
1350.0,leste,60.0,2.0
2800.0,leste,130.0,3.0
3026.0,leste,70.0,2.0
2850.0,leste,65.0,2.0
1000.0,leste,55.0,2.0
2300.0,leste,132.0,3.0
1400.0,leste,46.0,2.0
2800.0,leste,48.0,1.0
3400.0,leste,175.0,3.0
2277.0,leste,80.0,3.0
2440.0,leste,31.0,1.0
2500.0,leste,121.0,3.0
500.0,leste,25.0,1.0
1339.0,leste,65.0,1.0
1500.0,oeste,140.0,4.0
1200.0,oeste,56.0,2.0
1122.0,oeste,55.0,2.0
10500.0,oeste,186.0,5.0
2453.0,oeste,80.0,2.0
2020.0,oeste,100.0,3.0
1500.0,oeste,50.0,2.0
3500.0,oeste,80.0,3.0
2000.0,oeste,96.0,3.0
1526.0,oeste,50.0,2.0
1750.0,oeste,94.0,3.0
900.0,oeste,38.0,1.0
